,,TAVG,PRCP,SNOW,DP10,EVAP,AWND
Indiana,2015,52.385965129956844,3.897488179901733,2.5473011079374888,6.573252739888073,5.815714285714286,7.9937499999999995
Indiana,2016,54.257722586879176,3.612979321278148,1.9922328422103026,6.5917270076660435,6.893358337463851,7.887689393939393
Indiana,2017,54.013160966821495,3.8003985608473507,1.072686877651191,6.533127707827795,6.533127707827795,8.246527777777779
South Carolina,2015,63.81318238218093,5.210293229597564,0.11704545454545452,7.068314340323455,4.758611111111111,5.951282051282052
South Carolina,2016,64.24210996965063,3.7169423135242123,0.08700800833153775,5.203915754449745,4.683438555095427,6.111126373626374
South Carolina,2017,64.32907994662803,4.165527010021907,0.1803574775112444,5.941808786320298,5.941808786320298,6.084569597069598
Florida,2015,74.69792548175944,4.535495649004482,0.0,6.737904784647848,7.319166666666665,7.289188785013255
Florida,2016,73.74046124534858,4.581589920583538,0.0,6.2214879132937275,5.9615517117751695,7.395635148120115
Florida,2017,74.11447268969498,5.070956549109493,0.0,6.26898946727303,6.26898946727303,7.368779587180815
Nebraska,2015,50.78532151724395,2.4950353716015172,1.864294786499242,4.5344001684828665,6.564285714285715,9.690931372549018
Nebraska,2016,51.65311702571335,2.2403305119163686,1.9385822442823217,3.910884129165028,4.609330464331323,10.10438112745098
Nebraska,2017,50.75459528180809,2.229461586892032,1.917778753282124,3.9752302453427943,3.9752302453427943,9.870772058823528
Tennessee,2015,58.69501360700324,4.923729273379997,0.6348447996569593,7.5706524921263565,4.581469135802469,5.350833333333333
Tennessee,2016,59.88425075627426,3.9836466223459595,0.5436769899283488,6.375957127020629,6.250434266710469,5.4063888888888885
Tennessee,2017,59.59215746574074,4.799851475309748,0.23259935815855315,7.36025344430823,7.36025344430823,5.613333333333333
New Jersey,2015,53.52989329113854,3.5467693279211416,2.924344685948588,5.8869894088486125,5.592,6.30078282828283
New Jersey,2016,54.61881172373642,3.2354173640281867,2.3600775662886178,6.337458098169413,6.668556190688185,6.236893939393938
New Jersey,2017,54.28641902600483,3.7439836995482487,2.234437376041097,6.539117442599397,6.539117442599397,6.320454545454546
Idaho,2015,46.27873122928466,1.9671307620748657,2.9258611600663453,5.90378817306318,3.4845833333333336,4.865137844611528
Idaho,2016,45.02851726136833,2.2012731229069806,3.7955488988335273,6.599254347115699,4.395859553817254,5.2760477582846015
Idaho,2017,44.17870680653407,2.560833573184507,5.554196109151712,7.361171002622072,7.361171002622072,5.284190459809654
Texas,2015,66.19935673854057,4.080245,0.4295440109336639,4.922249999999999,6.440392412201994,8.632891784149397
Texas,2016,67.53274760098368,3.3960041666666663,0.03785890822073263,4.273333333333333,4.559968253968254,8.790895824585514
Texas,2017,67.73141743303636,3.01857,0.10727290545724871,3.76675,3.76675,9.161655237886007
Georgia,2015,64.8264198129108,4.974863686189625,0.13333333333333333,7.540089996996621,5.552361169344707,5.324509803921569
Georgia,2016,65.0066575193893,3.2870030434448783,0.03994674444589555,5.0159984614351165,4.7773305244211635,5.527941176470588
Georgia,2017,64.97172672227083,4.400926231208201,0.24276662666812118,6.327391814268251,6.327391814268251,5.399383169934641
Kansas,2015,56.10882707871173,2.801959571214144,0.7393836384694632,4.383270968760712,6.4550370370370365,9.537811539306105
Kansas,2016,57.052112580550194,2.800925212782911,0.5193795207084623,4.056444747980724,4.264753693209352,9.643895476504172
Kansas,2017,56.38792912609629,2.5713759267345058,0.3938290775649505,3.7902543782936804,3.7902543782936804,9.842098978919632
Alabama,2015,64.32253928383633,5.197871953260158,0.5607107843137255,7.200654118436135,4.6054545454545455,5.387887488328666
Alabama,2016,65.10113269481104,3.830987526846435,0.04465653153153153,5.281273396058087,4.776685606984576,5.355507180942553
Alabama,2017,64.78384715689947,5.532796612634897,0.05048984743257189,6.969215563622438,6.969215563622438,5.376482843137254
Virginia,2015,56.72442295402531,4.057278384535089,1.6387165404689306,7.0883244236237255,6.274064053092935,6.647395833333333
Virginia,2016,57.37019958399923,3.86819282000101,1.848930140547231,6.465242080285247,6.464880015469288,6.805085784313726
Virginia,2017,57.49261266262433,3.5028444600895328,0.7178738117022284,6.083248090716581,6.083248090716581,6.73235294117647
Illinois,2015,52.18061415743872,3.8434366326270606,2.8957228454823594,6.362247559683964,2.9229999999999996,8.699537037037038
Illinois,2016,54.12206847819801,3.262235727086193,1.5816008331316123,5.893575564924601,6.399013466176873,8.466666666666667
Illinois,2017,53.577671270259884,3.2542144437391443,0.7971891518403101,5.560487069600029,5.560487069600029,8.82037037037037
Arizona,2015,59.43067015014507,1.2228728038174022,0.792900043561529,3.033843654571202,7.156250000000001,7.419191463134962
Arizona,2016,59.69493915073412,1.1494949208844523,0.6877913880891112,2.7291700736387643,3.4391331971468735,10.04986383442266
Arizona,2017,60.616617383310086,0.8785756578793542,0.8377691682005203,2.0503761589165532,2.0503761589165532,8.22840413943355
Washington,2015,49.73974497680974,3.8610867967141758,2.2856303359760806,6.950323080621669,6.554380952380954,5.658817734388477
Washington,2016,48.23101206924098,4.2458604438875165,2.8308682124674753,8.930555271280733,8.182753077362346,6.1755796370967735
Washington,2017,46.615205995893085,4.197716033621018,4.525077950683026,8.3246823434057,8.3246823434057,6.089815651649981
Colorado,2015,44.767394876442005,1.918908916295722,5.970043844530349,5.259077938938003,6.1825747354497365,8.548830353341849
Colorado,2016,44.583438941658436,1.3768671921241389,5.484293615749816,4.049376964746336,4.052911133623351,13.659858817272125
Colorado,2017,45.38985392506831,1.5614233397750272,4.429393487604632,4.310536675097145,4.310536675097145,13.360525883169926
Kentucky,2015,56.63204781497998,4.897755986648215,1.8509377890952694,7.557114469803516,5.681428571428571,6.140740740740742
Kentucky,2016,57.97954029387201,4.076204544804406,1.441070789648484,7.000991339816411,6.936057253758813,6.086111111111112
Kentucky,2017,57.83910125151675,4.209543345488609,0.2392815157221937,7.075939932562529,7.075939932562529,6.463888888888889
Michigan,2015,45.11902787915145,2.681948292883568,4.904006089001441,6.035568447909603,4.488333333333333,8.25320512820513
Michigan,2016,47.45051634790254,2.9983420924427406,7.371373914480949,6.608890719185452,6.681496476804708,8.160179487179485
Michigan,2017,46.38480726077437,3.248662053829333,5.585744477305024,7.005286830004233,7.005286830004233,8.338923076923077
Minnesota,2015,43.65425778918291,2.668710389553611,2.763176136132449,5.060798344152965,5.9725,8.916875000000003
Minnesota,2016,44.67325860729068,3.0923061636083915,3.6234226775510656,5.4076533302261955,6.211613220360927,8.793229166666666
Minnesota,2017,42.830557168241796,2.6035859024459804,2.8019466162040403,4.988631550975807,4.988631550975807,8.659965277777777
North Carolina,2015,60.312205902515586,4.878001152390792,0.761749263169261,7.485183014600725,6.43648380692888,5.892796168203777
North Carolina,2016,60.57370102584482,4.079018668457672,0.8238326705724394,6.145371319699795,6.2947395085338265,6.1086682037769
North Carolina,2017,60.70908468232751,4.187097414184279,1.0459575994470895,6.578228105323935,6.578228105323935,6.166600790513836
New York,2015,46.921901834004665,3.302733032863983,5.910526913330806,6.80139160763779,5.495,7.655841984921518
New York,2016,48.99293939710872,3.0868153794395963,6.059254902646583,6.6462039153426735,6.901628120091788,7.773746137683847
New York,2017,48.43450377958126,3.9293419880653633,7.342335983684848,7.862638481513506,7.862638481513506,7.7700000000000005
Missouri,2015,55.61528705092923,4.653166663796415,0.8521668423082218,6.3901559918838915,4.749791666666667,7.829522417153996
Missouri,2016,57.2065358909797,3.270898830992205,0.32881370764418505,5.115103069520191,5.5617520774243125,7.725612417481614
Missouri,2017,56.82843792312462,3.509808438787571,0.2124463989537532,4.970399909714086,4.970399909714086,7.954399888610417
Iowa,2015,49.29084055809658,3.5904177866347458,3.0338007342088265,5.779072522006853,5.851428571428571,9.867881944444443
Iowa,2016,50.734448719553,3.220483706437863,2.0199565784451066,5.27460017984956,5.920025397579366,9.800034722222223
Iowa,2017,50.01288172877829,2.7198181475496965,1.4959350467018666,5.023029233824525,5.023029233824525,9.8596875
Oregon,2015,50.68507343652581,3.5381811115662187,0.9799337479462485,6.805906394451319,7.9772380952380955,5.253982668566002
Oregon,2016,49.05875625092491,4.1768959883303545,1.6117111628554384,8.836772693670994,8.018797341591121,5.633024691358025
Oregon,2017,48.25298219692474,4.325047317973894,2.6302455521877293,8.731434370811217,8.731434370811217,5.621604938271606
Mississippi,2015,65.21626214440111,5.1297528611631185,0.16245196530522615,6.713704633143434,3.5842754629629634,6.112651515151515
Mississippi,2016,65.9921523880666,4.633574262893778,0.010941500256016383,5.848523071149404,4.698052419123823,5.802272727272729
Mississippi,2017,65.88147197986886,5.238122398086363,0.1288876435976464,6.832448938155204,6.832448938155204,6.0287878787878775
Hawaii,2015,72.00424310815224,6.008706794333778,0.0,8.43961737126782,3.77,8.882407407407408
Hawaii,2016,72.05422628525127,4.9504098826357446,0.0,8.301225584407689,9.639033615117476,9.622916666666667
Hawaii,2017,71.85043078340668,4.678549479467048,0.0,7.375968745957837,7.375968745957837,9.371875
West Virginia,2015,52.77287656256666,3.926135010162079,3.2451313872418903,8.08960941963608,72.81,5.75219696969697
West Virginia,2016,53.8139463528448,3.76648864066107,3.695631977697055,7.799353463059602,7.8565616717590405,5.945454545454544
West Virginia,2017,53.72501263218513,3.9481601476665333,1.8589691782981443,8.062160231259453,8.062160231259453,6.084848484848485
Maine,2015,42.54601135575424,3.590314149401618,8.075148440387283,6.721337962694858,4.165999999999999,6.2236111111111105
Maine,2016,44.67552684294872,3.4522761209608324,5.965779797554204,6.53406874259904,6.413226017869105,6.097916666666667
Maine,2017,43.88857919214522,3.7470386740966,8.346178111322244,7.035151082151036,7.035151082151036,6.120833333333334
Arkansas,2015,61.145090498752644,5.627300186360363,0.5868531436946351,6.626344366539752,4.0690277777777775,5.922276688453159
Arkansas,2016,62.503316761750376,4.071404671500155,0.09657617845117844,5.630657989355591,4.912606962020468,5.835430283224401
Arkansas,2017,62.254911402319216,4.1669906773116665,0.1294131481346469,5.603564690262349,5.603564690262349,6.091857298474946
Wyoming,2015,42.65972879355871,1.5447536472118222,4.284344497680851,5.021039233672653,12.74,8.028070175438597
Wyoming,2016,42.40056560857681,1.6412445751023341,5.532939764002229,5.033482098161175,5.2298653529246115,9.748856209150325
Wyoming,2017,41.650724956663446,1.779536450787578,6.178355260961137,5.577292810260445,5.577292810260445,9.633284600389862
Pennsylvania,2015,50.077690939429836,3.5664898670965566,3.4057170446400296,6.983621099357954,4.595000000000001,6.694298076923077
Pennsylvania,2016,51.58008995464073,3.218421052201078,3.155325717117435,6.796555089039877,6.980065241046987,6.928991452991454
Pennsylvania,2017,51.346091917492515,3.7868287810205072,3.1713135420206804,7.392197578594217,7.392197578594217,6.9720972222222235
California,2015,59.96205249825132,1.268527259444251,0.7801656799223381,2.3839317552375467,6.381611305361305,6.058473276573664
California,2016,59.17801940551738,2.3021941856551194,1.0943364277858867,3.537552790124074,2.6308872834701007,6.387527192831782
California,2017,59.367843498413094,2.6185332148025946,2.387031205461279,3.5936476637023915,3.5936476637023915,6.4436080972473375
Louisiana,2015,68.13430399968333,5.677924117953862,0.17190476190476192,6.717369291417254,4.436111111111111,6.261147584033613
Louisiana,2016,68.80879830917537,5.876370029701527,0.0,6.245792618077957,5.45415932868067,6.001425653594773
Louisiana,2017,68.85814167898221,5.522985397081381,0.03136200716845879,6.569589285900822,6.569589285900822,6.264926470588235
Utah,2015,47.054392337872265,1.7193020915165238,3.1524962905191445,5.392786392902129,8.469166666666666,6.416792929292928
Utah,2016,46.63146852841291,1.7989102352764237,3.74670865957207,5.275191578397159,5.100797550842267,6.867948717948718
Utah,2017,48.46546611785169,1.574259555952383,4.212466172460476,4.223254581851747,4.223254581851747,7.3830341880341885
Wisconsin,2015,45.49481439708827,3.010904559960444,2.8574841928581116,5.575085649187088,6.762326136085304,8.081699346405228
Wisconsin,2016,47.01106342176109,3.23836146239965,4.034215065467522,6.245459471113979,6.9836694069196055,7.83425925925926
Wisconsin,2017,45.74223451799069,3.1590284427749826,2.836072958411338,6.540982865251002,6.540982865251002,7.977314814814815
North Dakota,2015,43.53677115445671,1.502979337905603,2.07918066182434,3.345848918518616,7.61,10.266666666666666
North Dakota,2016,44.42025784296774,1.9037408619130771,3.197419517624786,3.832059886132885,4.689221964527853,10.818518518518518
North Dakota,2017,42.107023700752244,1.127990543404027,2.6482751076622773,2.712151486504015,2.712151486504015,10.558333333333332
Ohio,2015,51.57220591724169,3.558219784418338,3.0789922959348988,7.03135340410143,41.18083333333333,7.8421442307692315
Ohio,2016,53.576935442148475,3.0716785050557274,2.246613429584631,6.810052860976223,6.963971933742888,7.9465769230769245
Ohio,2017,53.17582898088978,3.790331823530648,1.7704312302321554,7.26200164794147,7.26200164794147,8.139564102564103
South Dakota,2015,47.4647512498312,1.9682975276220374,2.8827934336974876,3.874580363614722,5.610666666666666,10.428888888888888
South Dakota,2016,48.272253426373844,1.8459053917909083,2.837901396028814,3.824252410005327,4.294077840429617,10.884920634920634
South Dakota,2017,46.72312993213419,1.5850057737746328,2.566711360317097,3.3781910102910917,3.3781910102910917,10.46063492063492
Vermont,2015,42.68315430815431,3.517049807013411,6.87110339001229,7.468830958197397,7.983824446171819,5.246666666666667
Vermont,2016,44.751868429664476,3.33395105227147,5.9449987245175135,7.227454818413281,7.521010797575812,5.403333333333332
Vermont,2017,44.139272290382486,3.9702579731975596,9.81007352957353,8.446638094767826,8.446638094767826,5.38
Montana,2015,44.432807001258915,1.5222417195433124,3.796997773185946,4.898928382300553,6.4539285714285715,8.324756335282652
Montana,2016,43.94521130529128,1.8355509802102798,3.254231165166207,5.644296623757481,5.875279877391371,8.710233918128655
Montana,2017,42.61368769891756,1.6701849257090224,5.488619896743391,5.323421043297208,5.323421043297208,8.531578947368422
Other States,2015,50.354056751377236,3.2466406661759977,4.00834504531925,5.840666976280415,8.070588226179545,7.893860744786569
Other States,2016,51.5586523906574,2.8776609808754334,2.660240283550721,5.631162634023839,5.682540457958656,9.537708144132543
Other States,2017,50.99303665088589,3.2584110038730287,3.4579962400233875,5.794392475225217,5.794392475225217,8.909318207186335
